,sigma_random_los,Re,halo_id,zeta,xi,triaxiality,zeta_new,xi_new
3,173.2461110324146,6.141363507430931,7,0.6867769874900731,0.6068381476336895,0.8363110273514898,0.6468075675618813,0.6468075675618813
9,158.07551588593324,5.363930194325569,14,0.6831383553431869,0.47163602633096097,0.6858922253656043,0.5773871908370739,0.5773871908370739
53,173.83671838413463,10.830102631220797,17188,0.6308444210022237,0.44255780886470414,0.748667372070338,0.536701114933464,0.536701114933464
94,173.30400828008402,7.70585044180338,31346,0.6027813267030532,0.30652902576293867,0.7026783617054448,0.4546551762329959,0.4546551762329959
192,188.07677506148949,11.755998333389456,60732,0.7686667155162679,0.4808594876107821,0.5322128466049735,0.624763101563525,0.624763101563525
194,219.02031174548685,11.61699172588802,60734,0.668689277172016,0.5892559257272405,0.8469266933338656,0.6289726014496282,0.6289726014496282
221,197.9368001606151,6.735460713183827,69509,0.6422770250974067,0.5414694675959781,0.8311703924371177,0.5918732463466925,0.5918732463466925
242,280.9573542988649,30.41515017248434,76086,0.7208201826778415,0.6294111325624606,0.7956030909337118,0.6751156576201511,0.6751156576201511
243,263.38663331576345,20.61746495126995,76087,0.6666756250179324,0.5135280569854715,0.7545184842983019,0.590101841001702,0.590101841001702
244,190.33068535681,14.937942602238406,76089,0.7912173256825955,0.6324943495479294,0.6233429184243341,0.7118558376152624,0.7118558376152624
266,180.8451845061713,6.617166620601163,83282,0.7035236236560491,0.6035680081327706,0.7944785505111168,0.6535458158944099,0.6535458158944099
277,157.915954040809,1.847427948950909,83295,0.6595820473162333,0.43259069945880796,0.6950124849378894,0.5460863733875206,0.5460863733875206
291,157.61770255162307,5.585627173715796,88666,0.7699916069226906,0.49700463902605163,0.5406643882695721,0.6334981229743711,0.6334981229743711
305,173.66600231020806,7.074632718737338,96501,0.817164881441251,0.6171429845359321,0.5366225543533513,0.7171539329885915,0.7171539329885915
306,156.71032881143879,5.589612309084685,96502,0.7335276480466716,0.4457921333119421,0.5765067337041643,0.5896598906793069,0.5896598906793069
351,156.12989579920895,4.689928017347799,114392,0.7149937254723798,0.5159563165095626,0.6661096304388999,0.6154750209909712,0.6154750209909712
370,174.2534935654007,10.01683373003462,121864,0.8218374534142819,0.7681208914606037,0.791685079504809,0.7949791724374429,0.7949791724374429
398,227.5523626855585,30.376783872019477,131047,0.705598698818666,0.5229581969603156,0.6911497585354484,0.6142784478894908,0.6142784478894908
399,216.01665775111326,7.842557823144455,131048,0.7404356719304301,0.48760507366831624,0.5926666796924951,0.6140203727993732,0.6140203727993732
423,244.88495223310414,41.69599205436843,137885,0.7089543909002787,0.6531296371152656,0.8673960044898491,0.6810420140077722,0.6810420140077722
